molecule,mode,lambda_ev,state_relax_ev,neutral_relax_ev,status,error,source_csv
AN3.xyz,n,0.796924271284,-5.751369277554,6.548293548838,ok,,results/AN3_n.csv
AN3.xyz,p,0.690822243079,-3.939419515550,4.630241758628,ok,,results/AN3_p.csv
PEN.xyz,p,0.572901439253,-1.612571112135,2.185472551388,ok,,results/PEN_p.csv
PFP.xyz,p,0.706429494751,-40.427165145870,41.133594640621,ok,,results/PFP_p.csv
PhCOH.xyz,p,1.092430433604,-2.755112323298,3.847542756902,ok,,results/PhCOH_p.csv
PhNMe2.xyz,p,0.760136122034,-6.544807966481,7.304944088515,ok,,results/PhNMe2_p.csv
RBH2.xyz,p,1.057877525065,-7.050944938752,8.108822463817,ok,,results/RBH2_p.csv
RCN.xyz,p,1.086923404902,-7.299222342166,8.386145747068,ok,,results/RCN_p.csv
RCOH.xyz,p,0.916973787106,-1.580824310509,2.497798097615,ok,,results/RCOH_p.csv
TL85.xyz,p,0.168734128628,-4.425111792286,4.593845920914,ok,,results/TL85_p.csv
TTA.xyz,p,0.935468444471,3.473059875062,-2.537591430592,ok,,results/TTA_p.csv
